,X,Y
0,432.25,644.25
1,817.25,844.75
2,987.5,543.25
3,1333.25,1016.25
4,1131.25,1270.0
5,1508.0,1077.75
6,1746.25,562.5
7,2551.25,916.0
8,2541.75,726.75
9,2872.25,880.75
10,2746.25,1349.75
11,2522.75,1179.5
12,2952.75,1561.5
13,2724.0,539.0
14,3790.0,918.25
15,3984.75,1176.5
16,3127.25,1477.25
17,3023.5,1317.25
18,3053.5,1746.0
19,3203.5,1852.75
20,3311.5,1825.75
21,3113.0,2074.5
22,2973.0,1940.75
23,2798.0,2060.5
24,2374.5,2032.75
25,2580.25,2086.25
26,2828.5,2380.0
27,2375.5,1691.5
28,2157.75,1527.25
29,2636.0,1425.25
30,2634.0,1670.5
31,3759.5,344.25
32,3222.0,585.25
33,4111.5,900.75
34,1353.25,1804.5
35,1506.75,2147.25
36,1914.25,1868.5
37,1725.5,1496.0
38,458.5,1767.75
39,928.25,1198.75
40,1012.5,2026.25
41,1008.25,1881.25
42,926.5,1935.0
43,3761.5,431.25
44,3224.5,3103.5
45,3494.0,2971.75
46,3404.0,3188.0
47,3234.0,3259.25
48,1701.75,2838.25
49,1725.25,3046.25
50,1831.0,3094.75
51,4090.0,2221.5
52,763.25,2647.25
53,765.25,2837.5
54,2626.75,3131.5
55,2311.25,3142.75
56,2378.75,3224.25
57,3627.5,1760.25
58,3711.0,1894.25
59,3639.75,1923.0
60,3496.5,1420.0
61,3419.5,1286.5
62,4414.25,1710.25
63,3374.0,3550.25
64,3251.5,2389.0
65,3291.25,2292.5
66,3415.25,2291.75
67,1715.25,728.75
68,1245.5,2758.5
69,1162.75,2705.75
70,1741.25,954.25
71,1334.5,588.25
72,3653.25,895.75
73,2976.75,963.0
74,3408.75,864.5
75,2541.5,2466.75
76,3057.0,3203.0
77,431.25,897.25
