,X,Y
0,300.5,361.0
1,613.75,541.25
2,842.75,253.25
3,1051.0,717.0
4,852.0,986.0
5,1225.5,776.0
6,1516.5,253.0
7,2306.0,685.25
8,2238.5,465.25
9,2555.0,624.25
10,2438.75,1117.75
11,2230.25,928.75
12,2664.25,1326.75
13,2457.5,271.75
14,3483.75,696.0
15,3736.25,1020.25
16,2793.25,1236.5
17,2728.75,1092.25
18,2742.0,1554.25
19,2887.25,1636.75
20,2990.0,1579.0
21,2796.75,1839.75
22,2635.5,1709.25
23,2486.25,1839.5
24,2052.0,1779.75
25,2231.0,1850.0
26,2523.0,2144.75
27,2047.25,1460.5
28,1845.0,1249.25
29,2322.25,1169.75
30,2340.75,1430.5
31,3461.0,90.25
32,2986.25,361.5
33,3756.75,702.5
34,1047.0,1548.75
35,1265.5,1883.5
36,1589.75,1634.5
37,1436.25,1239.75
38,231.5,1465.75
39,664.0,909.25
40,697.0,1745.25
41,696.75,1608.5
42,623.5,1645.75
43,3471.5,171.0
44,2867.0,2908.75
45,3143.0,2773.0
46,3069.0,2982.5
47,2859.5,3061.0
48,1329.25,2601.0
49,1361.75,2800.25
50,1464.5,2841.0
51,3743.0,2037.75
52,417.25,2332.0
53,433.25,2530.5
54,2341.0,2909.25
55,1998.5,2939.0
56,2075.75,3013.75
57,3266.25,1513.25
58,3361.5,1649.75
59,3298.25,1675.25
60,3160.25,1208.5
61,3132.5,1082.75
62,4092.5,1546.75
63,2951.5,3381.75
64,2926.25,2171.25
65,2957.5,2086.75
66,3072.25,2060.25
67,1454.0,402.5
68,911.25,2512.25
69,828.0,2448.25
70,1466.0,665.0
71,1135.25,274.25
72,3350.5,659.25
73,2677.5,695.25
74,3095.5,638.25
75,2177.75,2255.25
76,2682.75,3022.25
77,298.25,589.75
