,X,Y
0,190.25,670.25
1,454.5,765.75
2,609.75,443.25
3,895.0,909.0
4,723.5,1110.0
5,1019.0,986.0
6,1268.5,445.75
7,2054.5,705.25
8,2037.75,508.25
9,2331.25,629.0
10,2261.75,1112.75
11,2037.0,987.75
12,2476.0,1302.75
13,2221.5,306.75
14,3276.25,591.0
15,3504.0,871.25
16,2678.5,1210.75
17,2566.25,1068.0
18,2570.0,1477.0
19,2758.0,1594.0
20,2900.5,1564.5
21,2685.0,1828.5
22,2525.5,1725.5
23,2373.0,1843.25
24,1991.75,1817.25
25,2161.0,1865.5
26,2388.5,2137.5
27,1971.0,1500.5
28,1689.75,1318.5
29,2231.25,1226.75
30,2169.25,1443.25
31,3234.0,2.25
32,2762.5,320.25
33,3533.75,659.5
34,935.25,1642.75
35,1179.25,1984.25
36,1496.75,1641.25
37,1351.0,1320.25
38,120.25,1706.75
39,570.5,1098.0
40,545.75,1914.75
41,556.0,1768.25
42,475.0,1815.25
43,3219.5,87.25
44,2850.25,2839.5
45,3078.0,2704.75
46,3063.5,2914.75
47,2835.75,2998.5
48,1342.75,2685.5
49,1365.0,2889.75
50,1472.25,2926.0
51,3676.25,1983.5
52,452.75,2573.0
53,503.25,2752.25
54,2309.5,2916.75
55,1997.5,2963.0
56,2099.25,3028.5
57,3154.5,1450.0
58,3252.75,1611.75
59,3179.75,1639.25
60,2979.5,1156.0
61,2938.75,1049.5
62,3969.5,1352.25
63,2939.75,3264.25
64,2856.5,2118.25
65,2834.0,2024.0
66,2971.5,2017.75
67,1266.75,566.5
68,856.0,2646.25
69,771.0,2586.25
70,1241.5,808.0
71,948.5,416.25
72,3143.0,588.0
73,2454.75,700.0
74,2903.75,562.5
75,2123.25,2229.5
76,2682.0,2976.0
77,133.25,898.25
